,tweets
255,"RT @V_O_S_Official: افسوسناک خبر...
مریم نواز کے جلسے میں ہونے والی آتش بازی کے باعث ملحقہ کھیتوں میں میں آگ لگ گئی,کسانوں کی گندم کی تیار…"
256,RT @SHABAZGIL: یہ بی بی جہاں بھی گئی اس نے آگ ہی لگائی۔ بربادی ہی کی۔  ان بیچارے کسانوں کا کیا قصور ہے۔
257,RT @MurtazaAbrar: حکومت بنی کو ایک مہینہ ہو گیا ہے کوئی سرکاری ملازم بتائے کہ کیا اسکو شوشا باز شریف کی طرف سے اسمبلی میں پہلے دن کی گئی تق…
258,"RT @SHABAZGIL: آن کل ٹیکنوکریٹک سیٹ اپ کی بات ہو رہی ہے۔

ہم نے یہ لوٹا کریٹک سسٹم نہیں مانا تو آپکو کیسے لگتا ہے ٹیکنو والا سودا بک سکے گا…"
259,"RT @alihusnainsajja: ججز ملازم ہیں یا ادارہ ؟ 
 
22 کروڑ نے چوروں کو پکڑنے کے لئے ادارے بناے ، اور اس میں ملازم ججز رکھے ، اور باقاعدگی سے…"
260,RT @MashwaniAzhar: @Wabbasi007 پی کر لکھا ہے یہ سب؟ بالکل ہی کھسک گئے ہو تم لوگ 😂
261,"RT @FawadPTIUpdates: ""جن سے پٹرول کی قیمت پر فیصلہ نہیں ہو پا رہا۔ وہ کہتے ہیں ہم نے ایٹمی دھماکوں کا فیصلہ خود کیا تھا.""
@fawadchaudhry 
#…"
262,RT @HamidMirPAK: پہلے اپنے دلیر اور دبنگ خان صاحب سے کہو کہ بتائے جو ویڈیو اس نے ریکارڈ کرائی ہے اس میں کس کا نام لیا ہے؟ کس کا نمبر بلاک ک…
263,RT @haroon_natamam: ڈالر مہنگا' علمی منڈی میں نرخ ذیادہ۔ پٹرول اور ڈیزل کی قیمت بڑھانے کے سوا کوئی چارہ نہیں۔ شتر مرغ کی طرح ریت میں سر چھپ…
264,@iAnumSheikh میں تو ان کسانوں پر حیران ہوں جن کی گندم کی فصلیں 15 مئی تک کٹائی نہ ہو سکی
265,عمران خان کو گرفتار کرنے والے کا پاکستان میں رہنا مشکل ہو جائے گا: رانا ثناء اللہ پاگل ہی ہو گا اگر عمران خان کو گرفتار کرےگا، شہباز کی حکومت کو گھر بھیج کر انتخابات کرائے جائیں۔ فواد چودھری کا مطالبہ https://t.co/ByjvLAqrO5
266,@usmanbangash96 یہ تو پتہ نہیں کہ وہ ساری عمر چھوتیا بنے یا نہیں پر تم کیوں چوروں کی خاطر اپنی ماں بہن کو گالیاں پڑوا رہے ہو بنگش غیرتی لوگ ہیں اس پر غور کرو کیا مریم آپکی ماں بہن سے اچھی ہے خود ہی فیصلہ کرو
267,"RT @iAnumSheikh: مریم نواز کے جلسے میں ہونے والی آتش بازی کے باعث ملحقہ کھیتوں میں میں آگ لگ گئی,کسانوں کی گندم کی تیار فصلیں جل کر خاکستر…"
268,"RT @V_O_S_Official: افسوسناک خبر...
مریم نواز کے جلسے میں ہونے والی آتش بازی کے باعث ملحقہ کھیتوں میں میں آگ لگ گئی,کسانوں کی گندم کی تیار…"
269,"RT @ShakirAwan88: مسلم لیگ ن کے جلسے میں ہونے والی آتش بازی کے باعث ملحقہ کھیتوں میں میں آگ لگ گئی,,کسانوں کی گندم کی تیار فصلیں چل کر خاکس…"
270,RT @Awais_MAJ: جس انسان کے دستخط شدہ شرٹ کروڑوں میں بکتی ہو اس پر پٹواری گھڑی چوری کا الزام لگاتے رہے۔۔!! https://t.co/oAFbQXMOx5
271,"RT @DrNuman22: باچاخاني په کار ده

اپر دیر کمراٹ میں جگہ جگہ پر عوامی نیشنل پارٹی کے خوشں آمدیدی بینر اور پختون قوم کی پہچان عوامی نیشنل پا…"
272,"RT @rz_hashmi: روز کہتے ہو کہ تیل کی  قیمت بڑھانے کے سوا کوئی چارہ نہیں ۔ تو بڑھاتے کیوں نہیں۔ 
 کسی نے کہا تھا :   بزدل کا سفینہ کنارے پر…"
273,"RT @Sidra6021: مہنگائی تو ختم نہیں ہو سکی
پر پٹواریوں کی پچھاں مڑ وے ڈھولا تیری
لوڑ پے گئی ، والی خارش ضرور ختم ہوگئی 🤣😳🤣 #امپورٹڈ_حکومت_نا…"
274,"RT @V_O_S_Official: افسوسناک خبر...
مریم نواز کے جلسے میں ہونے والی آتش بازی کے باعث ملحقہ کھیتوں میں میں آگ لگ گئی,کسانوں کی گندم کی تیار…"
275,RT @SHABAZGIL: یہ بی بی جہاں بھی گئی اس نے آگ ہی لگائی۔ بربادی ہی کی۔  ان بیچارے کسانوں کا کیا قصور ہے۔
276,RT @Qasim_Ramay: دو اچھے لوگوں میں زیادہ اچھے انسان کے چناؤ میں غلطی زیادہ نقصان نہیں پہنچاتی مگر دو برے لوگوں میں کم برے شخص کے چناؤ میں غ…
277,"RT @zarjatgulwazir: اگر آج ARY والوں کو خراج تحسین نہ پیش کیا گیا  تو یہ بہت زیادتی ہو گی

 شاباش اے آر وائی

 #امپورٹڈ__حکومت__نامنظور"
278,"RT @SHABAZGIL: آن کل ٹیکنوکریٹک سیٹ اپ کی بات ہو رہی ہے۔

ہم نے یہ لوٹا کریٹک سسٹم نہیں مانا تو آپکو کیسے لگتا ہے ٹیکنو والا سودا بک سکے گا…"
279,"RT @iEjazShah: کپتان کے خلاف ہر طرح کا پروپیگنڈہ بری طرح ناکام ہو جانے کے بعد اب باری ہے اسرائیل کارڈ کی!

دنیا کے ہر فورم پر عمران خان نے…"
280,"RT @SHABAZGIL: آن کل ٹیکنوکریٹک سیٹ اپ کی بات ہو رہی ہے۔

ہم نے یہ لوٹا کریٹک سسٹم نہیں مانا تو آپکو کیسے لگتا ہے ٹیکنو والا سودا بک سکے گا…"
281,"RT @SHABAZGIL: آن کل ٹیکنوکریٹک سیٹ اپ کی بات ہو رہی ہے۔

ہم نے یہ لوٹا کریٹک سسٹم نہیں مانا تو آپکو کیسے لگتا ہے ٹیکنو والا سودا بک سکے گا…"
282,"RT @HadithUrd: آپﷺنے فرمایا:

 ”مومن کے مومن پر چھ حقوق ہیں،
جب بیمار ہو تو اس کی بیمار پرسی کرے،
جب مرے تو اس کے جنازے میں شریک ہو،
جب دعو…"
283,@Danixviews ھاں جہاں تک تعلق ہے ڈراپ ایریگیشن کا وہ فرور کی جا سکتی تھی لیکن وہ بھی وہیں ہو گا نا بھائی جہاں پانی موجود ہو
284,RT @najamwalikhan: خانصاحب کی تقریریں سٹار پلس کے ڈرامے بنتی چلی جا رہی ہیں۔ کسی کا مشکوک خط، کسی کی بے وفائی، کسی کے نمبر بلاک اور کسی کی…
285,"RT @ImranRiazFan_: اگر آج ARY والوں کو خراج تحسین نہ پیش کیا گیا  تو یہ بہت زیادتی ہو گی

 شاباش اے آر وائی

 #امپورٹڈ__حکومت__نامنظور"
286,"RT @8686Ishaq: میرے پاس کھونے کو کچھ نہ تھا 
آپ جو ملے تو ڈر گئی ہوں میں 

ہو جاؤ تیار شیرو
ریٹویٹ مارو
#TLP_NarowalJalsa"
287,RT @Irshaadbhatti33: زیادہ سےزیادہ آپ کسی کو جان سے مارنے کی دھمکی دےکر ڈرا سکتے ہو یا روک سکتے ہو۔ جب بندہ موت سے بھی نہ ڈرے تو پھر اسکا م…
288,RT @sherinzada: فوری الیکشن اور پاکستان میں استحکام لاؤ عمران خان کے جلسوں میں جس طرح لوگ شرکت کر رہے ہیں یہ تاریخ میں پہلی دفعہ ہو رہا ہے
289,"RT @MeFixerr: بتا نا، اسرائیل کس نے بھجوایا تمہیں؟ کیا ایجنڈا لے کر گئے؟ کیا ایجنڈا لے کر آئے ہو واپس؟ 

@_AhmedQuraishi"
290,"RT @haroon_natamam: "" جو ملک کلمے پر بنا ہو کیا دنیا میں بھیک مانگ سکتا ہے"" علی محمد خاں
 جی ہاں مانگ سکتا ہے اور ہمیشہ مانگتا رہا۔ اس لیے…"
291,RT @UmarCheema1: یہ ممکن ہی نہیں کہ ذرا کوشش کرنے سے عمران خان کا کوئی ایسا بیان نہ ملے جس میں جناب نے دوسرے سیاستدانوں کا سکیورٹی کے حوالے…
292,"RT @SHABAZGIL: آن کل ٹیکنوکریٹک سیٹ اپ کی بات ہو رہی ہے۔

ہم نے یہ لوٹا کریٹک سسٹم نہیں مانا تو آپکو کیسے لگتا ہے ٹیکنو والا سودا بک سکے گا…"
293,"RT @SIHN92: ہمارے عدالتی نظام کے منہ پر ایک زناٹے دار زبردست تمانچہ

محسوس نہ ہو تو شرم سے سب ڈوب مرو۔

""اب الیکشن تب ہونگے جب لندن سے نواز…"
294,"RT @Mian_MUR: ایک وقت میں ن لیگ کا گڑھ سمجھا جانے والا فیصل آباد آج ن لیگ کی سیاست کا قبرستان ثابت ہو گا۔۔۔۔

انشاءاللہ"
295,RT @zafarmalik64: عمران خان کے کھانے میں کوئی زہر ملاے گا                   تو وہ کوئی گھر والا ہو گا  : مریم صفدر…
296,RT @Abbasshabbir72: الیکشن کمیشن کا یہ موقف کہ انتخابات نہیں ہو سکتے ان کے استعفوں کے لیے کافی ہے،فواد چوہدری
297,"@Ishq_e_Pakistan @_Aamaadmi1 پچھلی دفعہ سات آٹھ ہزار کا فرق کچھ زیادہ نہیں کوشش کریں
انشاءاللہ اس دفعہ یہ فرق بھی ختم ہو جائے گا
✌️✌️✌️✌️✌️✌️✌️✌️✌️"
298,"RT @NazHere123: آپا شیریں کے جاگنے سے بہت سے لوگوں کی نیندیں حرام ہو گئی ہیں۔۔

#امپورٹڈ_حکومت_نامنظور https://t.co/3WEuduXTcU"
299,RT @AleemAkber: @ImranARaja1 @OfficialDGISPR پاکستان آزاز ہو گیا لیکن ایسٹ انڈیا کمپنی اور اسکا سامراج نظام  نہ ختم ہو سکا وہ تو اللہ کا لا…
300,RT @TariqueAnwarKh8: لاڑکانہ کھوسہ برادری اور اوڈ برادری نے پاکستان پیپلز پارٹی کی عوامی خدمت سے متاثر ہو کر جی ڈی اے کو ہمیشہ کے لیے الودا…
301,تحریک لبیک پاکستان کے امیر رفتہ رفتہ عوامی مقبولیت حاصل کر رہے وہ وقت دور نہیں جب پاکستان کی حالیہ نیشنل اسمبلی جہاں بیٹھ کر شرابیں پی جاتی وہاں لبیک یارسول اللہ کے فلک شگاف نعرے بلند ہونگے۔ انشاء اللہ
302,RT @waleedunas: یہ ملک میں ہو کیا رہا ہے؟ کوئ والی وارث ہے؟  #امپورٹڈ_حکومت_نامنظور
303,"اگر آپ نے اپنی غلطی مان لی ہے ہے تو  آپ یہ بھی کریں کہ اپنی جو  آپ کی پہلی  بیوی ہے     اس کے ساتھ اپنی زندگی گزارے   انشاء اللہ آپ کے ساری زندگی اچھی ہو جائیں گی باقی

#DontGoAamirBhai"
304,RT @Ch_AbidRaza: واقعی یہاں فرح گوگی جیسا تجربہ ہونا چاہیے جس کسی سے مشورہ بھی نا کرے اور اربوں روپے لے کر فرار ہو جائے
305,"RT @Kabeer713: اُس نے مجھ سے پوچھا کہ اگر آپ کو مجھ سے زیادہ خوبصورت لڑکی مل گئی تو کیا کرو گے!!!!
تو میں نے بھی جواب دے دیا اور کہا کہ میں…"
306,"RT @sheikhkhurram7: صحت کے باعث آج جلسہ گاہ نہیں جا سکا۔ اپنے قائد کا استقبال کرتے ہوئے دل خوش ہو گیا۔
 #امپورٹڈ_حکومت_نامنظور https://t.co…"
307,"RT @ch_164: السلام علیکم ورحمة اللہ وبرکاتہ

اخلاص و احساس کے رشتے دستک کے محتاج نہیـں ھوتے یہ ایک خوشبو ھے جو بند دروازوں سے بھی گزر جاتی…"
308,"RT @SdqJaan: فہد حسین کا حکومت میں تنخواہ دار ملازم بھرتی ہونے کا نوٹیفکیشن ہوئے 48 گھنٹے ہو گئے ہیں،
اگر اس شخص میں رتی برابر بھی غیرت ہوت…"
309,"RT @MaleehaHashmey: شہباز شریف کی حکومت چند ہفتے مزید رہ گئی تو خدا نخواستہ ملک دیوالیہ ہو جاۓ گا،

اور یہ مکس اچار ایسا بےنقاب ہو گا کہ دو…"
310,"RT @Burhanullah01: نااہل شریف کہ رہا ہے کہ اگر عمران کنٹرول نہی ہو رہا تو فوری الیکشن کرائے جائیں
او...... نااہلو
تم عمران کو نہی مہنگائی ک…"
311,"@DrFiza_khan دھیان میں رکھیں کہ یہ سکیورٹی کہیں سلمان تاثیر والی نہ ہو 
اللہ نہ کرے 
دعا ہے کہ اللہ سبحان تعالی خان کی حفاظت فرمائے آمین ثم آمین"
312,"RT @ImranRiazFan_: اگر آج ARY والوں کو خراج تحسین نہ پیش کیا گیا  تو یہ بہت زیادتی ہو گی

 شاباش اے آر وائی

 #امپورٹڈ__حکومت__نامنظور"
313,میں حیران ہو جاتا ہوں جب ڈالر 110 سے 185 تک جاتا لیکن معیشت مضبوط ہوتا ہے تیل 60 سے 140 تک جاتا ،گھی 170 سے 500 تک جاتا ہے،ہر چیز منہگا ہو جاتا ہے لیکن معیشت نیازی کے دور میں صحیح تھا اب ان لوگوں کو منہگائی نظر آئی یہ جو بیٹھ گئے یہ تو ویسی بھی چور ہیں تم تو چور نہیں تھے ؟
314,RT @WusatUllahKhan: پیرونایا کو آپ اردو میں ذہنی خلجان، خفقان، انتشارِ ذہنی، فتورِ ذہنی یا مالیخولیا کہہ سکتے ہیں۔ یعنی وہ شدید ذہنی بے چین…
315,"RT @Pervaizelahich: #امپورٹڈ_حکومت_نامنظور
  آنےکہ بعد اگر کسی چیز کی قیمت میں کمی آئی ہو تو بتا کر انعام وصول کرے
🤣🤣🤣🤣🤣"
316,RT @Abbasshabbir72: الیکشن کمیشن کا یہ موقف کہ انتخابات نہیں ہو سکتے ان کے استعفوں کے لیے کافی ہے،فواد چوہدری
317,RT @SabirMehmood26: شکر الحمد للہ سب کی آنکھوں کا کامیاب آپریشن ہو گیا سب کو مہنگائی ڈالر میں اضافہ سٹاک مارکیٹ میں مندی نظر آنا شروع ہو گئ…
318,"RT @ShahzadGill202: جن سے پٹرول کی قیمت پر فیصلہ نہیں ہو پا رہا۔ وہ کہتے ہیں ہم نے ایٹمی دھماکوں کا فیصلہ خود کیا تھا۔۔
  #امپورٹڈ_حکومت_نا…"
319,@Shabnam25514403 @Justice_SCP @RReformer_ تم وھو ہی شبنم ہو جس کے غم میں پاگل ہو گیا نیازی
320,"RT @raoo512: کل احسن اقبال نے شہزاد اقبال کے انٹرویو میں کہا ہے کہ 

ہمیں احساس ہے کہ پٹرول کی قیمت بڑھانا ہی ملک کے لیے درست فیصلہ ہے مگر…"
321,RT @SHABAZGIL: یہ بی بی جہاں بھی گئی اس نے آگ ہی لگائی۔ بربادی ہی کی۔  ان بیچارے کسانوں کا کیا قصور ہے۔
322,"RT @raoo512: کل احسن اقبال نے شہزاد اقبال کے انٹرویو میں کہا ہے کہ 

ہمیں احساس ہے کہ پٹرول کی قیمت بڑھانا ہی ملک کے لیے درست فیصلہ ہے مگر…"
323,RT @ImranRiazKhan: خدارا عمران خان کی بات کو سنجیدہ لیا جائے انہوں نے آجتک اپنے مخالفین کے بارے میں جو کہا سچ ثابت ہوا۔ خدانخواستہ پاکستان…
324,"RT @Farzana722: رات خبر چل رہی تھی شہبازشریف کا جہاز لاہور اترا گیا ہے، اب سن رہی کہ پاکستان میں ہی نہیں
وزیراعظم نہ ہوا کوئی چھلاوا ہو گیا…"
325,"مزہ تو اس وقت آئے گا جب شہباز شریف اسمبلی توڑنے کی صدر کو درخواست کریں گے صدر جواب دے گا نا کاکا نا دو مہینے ہور ذلیل ہو لو 😂😂
#امپورٹڈ_حکومت_نامنظور"
326,"RT @AzharSiddique: آج کا دن فیصلہ کن ہو سکتا ہے—

سپریم کورٹ آرٹیکل 63اے کی تشریح سے متعلق صدارتی ریفرنس پر سماعت کرےگی
چیف جسٹس عمر عطا بن…"
327,RT @itsMaleeeks: بھائی ذرا تحقیق بھی کر لو کیس کی ptvکا اصل گھپلہ یہ کیس تھا خاتون سابق سیکرٹری داخلہ کی بیگم تھی سعودی وزیر کا انٹرویو جس…
328,RT @Haqeeqat_TV: امریکی ڈالر 194 روپے کا ہوگیا۔ عمران خان کی حکومت نا گرائی ہوتی تو آج ڈالر 175 تک ہی رہتا۔ جتنے دن لیٹ کرو گے اتنی تباہی ہ…
329,@ZeshanMalick @MaryamNSharif مائی ذلیل ہو گئی کل
330,"RT @iAnumSheikh: مریم نواز کے جلسے میں ہونے والی آتش بازی کے باعث ملحقہ کھیتوں میں میں آگ لگ گئی,کسانوں کی گندم کی تیار فصلیں جل کر خاکستر…"
331,"RT @ShakirAwan88: مسلم لیگ ن کے جلسے میں ہونے والی آتش بازی کے باعث ملحقہ کھیتوں میں میں آگ لگ گئی,,کسانوں کی گندم کی تیار فصلیں چل کر خاکس…"
332,"RT @ImranRaizKhan: چور لٹیرے مجرم عمران خان ٹرینڈ چلا رہے ہیں 

سب اس ہیش ٹیگ کو جوائن کریں تاکہ اپوزیشن کی تکلیف میں اضافہ ہو سکے 

کون سا…"
333,"RT @lmranRiyazKhan: جن حضرات کے فالورز آگے نہیں بڑھ رہے وہ جلدی سے یہ ٹویٹ ریٹوئیٹ 🔄 کریں۔ مجھے فالو کریں 
30 منٹ بعد لسٹ میں وہ شامل ہو جا…"
334,RT @CSMR786: آرٹیکل 6 لگے گا اور اس کہ ابتدا نیچے سے شروع ہو چکی ہے پنجاب اسمبلی میں جس 22 گریڈ کہ آفیسر نے غیر آئینی طریقے سے قرارداد کو ر…
335,@miandawoodadv خان نے باقی تو کوئی وعدہ جو عوام سے کئے گئے تھے پورے نہیں کئے لیکن خودکشی والا پورا کرے گا وہ بار بار چوتھیوں کو بتا رہا ہے لیکن چوتھیوں میں دماغ ہو تو سمجھ آئے
336,"@GhulamHusainPK @Abidhus27558847 عمران خان عمران خان کرتے رہتے ہو
خود کو عمران خان بناؤ
وہ نبی کریم کو اپنا لیڈر سمجھتا ہے تم بھی سمجھو
وہ کرپشن کا دشمن ہے تم بھی کرپشن کے دشمن بنو
وہ انصاف مانگتا ہے تم بھی انصاف مانگو اور انصاف کرو
جب 22کروڑ عمران خان ہوں گے تو یہ کس کس کو ماریں گے
#امپورٹڈ_حکومت_نامنظور"
337,RT @itx_Nazish: عمران خان کے ویڈیو ریکارڈ کے انکشاف کے بعد سب کی دوڑیں لگ گئی کہ کہیں ایسا نہ ہو کہ خدانخواستہ خان کو کچھ ہو جائے اور ویڈیو…
338,"RT @balochi5252: خان کی حکومت کو گرانے کے بعد،
اورسیز پاکستانیوں نے اپنے پیسے نکلوائے۔
چین ،سعودی عرب، اور یو اے ای نے بھی امداد نہیں دی۔
ا…"
339,"RT @KanwalMna: جہاں بھی گی 
داستان چھوڑ آئ"
340,"RT @Sidra6021: مہنگائی تو ختم نہیں ہو سکی
پر پٹواریوں کی پچھاں مڑ وے ڈھولا تیری
لوڑ پے گئی ، والی خارش ضرور ختم ہوگئی 🤣😳🤣 #امپورٹڈ_حکومت_نا…"
341,"RT @SHABAZGIL: آن کل ٹیکنوکریٹک سیٹ اپ کی بات ہو رہی ہے۔

ہم نے یہ لوٹا کریٹک سسٹم نہیں مانا تو آپکو کیسے لگتا ہے ٹیکنو والا سودا بک سکے گا…"
342,"RT @ImranRiazFan_: اگر آج ARY والوں کو خراج تحسین نہ پیش کیا گیا  تو یہ بہت زیادتی ہو گی

 شاباش اے آر وائی

 #امپورٹڈ__حکومت__نامنظور"
343,@MashwaniAzhar @CamaroguyCrypto عجیب نظام ہے اس ملک کا۔۔  سیدھی سی بات ہے کہ ایک پارٹی کے ووٹ لے کہ آنے والا کیسے اس پارٹی کے خلاف جا سکتا، اور ان سے 3 مہینوں سے فیصلہ ہی نہیں ہو رہا۔۔
344,"RT @TabiCh_DxB: مجھے معلوم ہے کہ میرا اکاؤنٹ نون غنوں کی ہٹ لسٹ پر ہے۔

اگر کبھی اکاؤنٹ غائب ہو تو سیدھا  @Tabi_Lhr  پر آنا 

@TabiCh_DxB…"
345,"@Naya__Pakista @arslankhalid_m آپ قوم کے ہیرو ہو ماشاءاللہ 
❤🇵🇰❤
پاکستان پائندہ باد 
گریٹ عمران خان صاحب زندہ باد"
346,"RT @farrukhnadeemoo: کیا 19 کو چکوال جلسہ منسوخ ہو گیا ہے؟؟؟؟
پلیز کنفرم کریں
#امپورٹڈ_حکومت_نامنظور"
347,RT @waqasmughal75: ن لیگ اور پیپلز پارٹی ورکرز پوچھتے ہیں کپتان کا نظریہ کیاہے؛سُنو ہمارا نظریہ حقیقی پاکستان کی تشکیل ہے،آزادی کی سوچ پرہم…
348,RT @Its_Anwar_Khan: مبارک ہو! ڈالر نے ڈبل سینچری مکمل کر لی۔ اوپن مارکیٹ میں 200 روپے کا ہو گیا
349,RT @haroon_natamam: امریکہ نے لیاقت علی خاں کو قتل کرایا۔  ایرانی وزیراعظم مصدق کےخلاف کارروائی سے انکار۔ جنرل ضیاء الحق کو بھی ٫ افغانستان…
350,"RT @Bhatti_72: ہاں جی پاکستانیوں ۔۔۔ !!

فیصل آباد والوں کا پیار دیکھا ۔۔۔۔؟؟؟
فیصل آباد والوں کی غیرت دیکھی ۔۔۔؟؟؟
مزہ آیا فر ۔۔۔۔؟؟؟
کوئی…"
351,"بکائو مال ہیں یہ سارے۔ کچھ کر لیں عوام ان کا ساتھ نہیں دے گی۔ 
#امپورٹڈ_حکومت_نامنظور"
352,RT @MianJalilAhmedd: @ImranKhanPTI کہتے ہے چالیس لوگ آمین کہہ دے تو دعا قبول ہو جاتی اللہ عمران خان کو لمبی صحت والی زندگی عطا کرے۔ آمین کہ…
353,RT @fawadchaudhry: جن سے پٹرول کی قیمت پر فیصلہ نہیں ہو پا رہا۔وہ کہتے ہیں ہم نے ایٹمی دھماکوں کا فیصلہ خود کیا تھا۔۔  #امپورٹڈ_حکومت_نامنظ…
354,"RT @ShakirAwan88: مسلم لیگ ن کے جلسے میں ہونے والی آتش بازی کے باعث ملحقہ کھیتوں میں میں آگ لگ گئی,,کسانوں کی گندم کی تیار فصلیں چل کر خاکس…"
355,"RT @dervaish_: کہاں تیرا آستانہ
کہاں میری سجدہ ریزی

تیرے در کے ہو جو قابِل
میں وہ سر کہاں سے لاؤں

مولا! https://t.co/1N5iPsoHDC"
356,"RT @RajaAkhtarHuss6: ساری نوں لیک اس سے ہدایات لینے گئی تھی جسکی 80%شریاننے بند ہیں دل دماغ کمزور ہو گا 
کیا یہ 22 کروڑ عوام کے ساتھ مذاق ن…"
357,"RT @MaleehaHashmey: شہباز شریف کی حکومت چند ہفتے مزید رہ گئی تو خدا نخواستہ ملک دیوالیہ ہو جاۓ گا،

اور یہ مکس اچار ایسا بےنقاب ہو گا کہ دو…"
358,RT @MianJalilAhmedd: @ImranKhanPTI کہتے ہے چالیس لوگ آمین کہہ دے تو دعا قبول ہو جاتی اللہ عمران خان کو لمبی صحت والی زندگی عطا کرے۔ آمین کہ…
359,RT @ghazanfar473: کوئی نہیں رہا سب خان کو کاپی کرتے ہیں اپنا تو کچھ ہے نہیں ان کے پاس کرنے کو
360,"RT @Mian_MUR: ایک وقت میں ن لیگ کا گڑھ سمجھا جانے والا فیصل آباد آج ن لیگ کی سیاست کا قبرستان ثابت ہو گا۔۔۔۔

انشاءاللہ"
361,"دل کو سمجھاؤں گی جیسے بھی ہو مُمکن، لیکن
اب میں اظہارِ تمنّا_______نہیں ہونے دوں گی
اے مِرے ظرف و اَنا! اِتنے پریشاں کیوں ہو
کہہ چکی ہُوں، تمہیں رُسوا نہیں ہونے دوں گی💔🔥"
362,"RT @raoo512: کل احسن اقبال نے شہزاد اقبال کے انٹرویو میں کہا ہے کہ 

ہمیں احساس ہے کہ پٹرول کی قیمت بڑھانا ہی ملک کے لیے درست فیصلہ ہے مگر…"
363,"RT @raoo512: کل احسن اقبال نے شہزاد اقبال کے انٹرویو میں کہا ہے کہ 

ہمیں احساس ہے کہ پٹرول کی قیمت بڑھانا ہی ملک کے لیے درست فیصلہ ہے مگر…"
364,RT @AdeelJavedCh: سپریم کورٹ سوموٹو ایکشن لے کہ ڈاکٹر رضوان کو ہارٹ اٹیک کیسے ہوا  میں ایسے زہر کا بتاونگا جو دئیے جانے کے بعد انسان کو ہار…
365,RT @Haqeeqat_TV: امریکی ڈالر 194 روپے کا ہوگیا۔ عمران خان کی حکومت نا گرائی ہوتی تو آج ڈالر 175 تک ہی رہتا۔ جتنے دن لیٹ کرو گے اتنی تباہی ہ…
366,RT @SalmanAhmadMrwt: تم نے دیکھا یہ کیا ہو رہا ہے @MaryamNSharif 😂👌
367,"RT @MaleehaHashmey: ابھی ایک مہینہ ہی گزرا ہے کہ بلاول اور شہباز شریف کی لڑائی شروع۔

لگتا ہے #امپورٹڈ__حکومت__نامنظور اپنے وزن سے جلد خود…"
368,"RT @SHABAZGIL: آن کل ٹیکنوکریٹک سیٹ اپ کی بات ہو رہی ہے۔

ہم نے یہ لوٹا کریٹک سسٹم نہیں مانا تو آپکو کیسے لگتا ہے ٹیکنو والا سودا بک سکے گا…"
369,"اب ہاتھ کھڑے ہو گئے ہیں
جب بجا نہیں سکتے تھے تو گلے میں کیوں ڈالا جناب https://t.co/gneoHfjN57"
370,RT @InsafPK: مریم نواز اپنے برینڈڈ جوڑے،شوز اور میک اپ سمیت VVIP پروٹوکول میں جلسے سے خطاب کے بجائے ڈھوک ہسو میں ان متوسط گھرانوں کی عورتوں…
371,"RT @iAnumSheikh: مریم نواز کے جلسے میں ہونے والی آتش بازی کے باعث ملحقہ کھیتوں میں میں آگ لگ گئی,کسانوں کی گندم کی تیار فصلیں جل کر خاکستر…"
372,RT @HamidMirPAK: پہلے اپنے دلیر اور دبنگ خان صاحب سے کہو کہ بتائے جو ویڈیو اس نے ریکارڈ کرائی ہے اس میں کس کا نام لیا ہے؟ کس کا نمبر بلاک ک…
373,"RT @raoo512: کل احسن اقبال نے شہزاد اقبال کے انٹرویو میں کہا ہے کہ 

ہمیں احساس ہے کہ پٹرول کی قیمت بڑھانا ہی ملک کے لیے درست فیصلہ ہے مگر…"
374,RT @ImranRiazFan: فیصل آباد وہ شہر ہے جو کبھی ن لیگ کا گڑھ سمجھا جاتا تھا۔۔ آج وہاں پر بھی عوام نے پہنچ کر بتا دیا کہ وہ اب خان صاحب کے سات…
375,"RT @GhulamHusainPK: اگر آج ARY والوں کو خراج تحسین نہ پیش کیا گیا  تو یہ بہت زیادتی ہو گی

 شاباش اے آر وائی

 #امپورٹڈ__حکومت__نامنظور"
376,"RT @BilalLatif1_: ایک وقت میں ن لیگ کا گڑھ سمجھا جانے والا فیصل آباد آج ن لیگ کیلئے قبرستان ثابت ہو گا
#امپورٹڈ_حکومت_نامنظور 
#Sailkotjalsa"
377,RT @FaisalK3890: مہنگائی کا تو پتہ نہیں کب ختم ہوگی ۔پر پٹواریوں کی خارش ختم ہو گئی ہے 🤣😂😂 #امپورٹڈ_حکومت_نامنظور
378,"مشرف کا وزیر مذہبی آمور عامیر لیاقت کہتے ہیں کہ چہل قدمی کے دوران چند دنوں میں ایک محترمہ سے تعلق ہو گیا ۔
اس نے پوچھا کیا کرتے ہیں ؟
میں نے کہا کتابیں لکھتا ہوں۔
اس نے کچھ کتابیں لے کر پڑھیں ۔
اگلے ہفتے میں نے پوچھا کتاب کیسی لگی؟
کہتی ہیں کہ شکل سے تو آپ اتنے لُچے نہیں لگتے https://t.co/Xge2Q9fgn9"
379,RT @imdad_soomro: تحریک انصاف کہہ رہی ہے کہ ملک دیوالیہ ہو رہا ہے، سوال یہ ہے کہ صرف ایک ماہ 14 دنوں میں ایسا کیا ہو گیا کہ ملک دیوالیہ ہون…
380,RT @Abbasshabbir72: الیکشن کمیشن کا یہ موقف کہ انتخابات نہیں ہو سکتے ان کے استعفوں کے لیے کافی ہے،فواد چوہدری
